id,issue
bestmuscat:restaurant:spicy-village,no_photo
bestmuscat:restaurant:meknas,no_photo
bestmuscat:restaurant:pizza-hut,no_photo
bestmuscat:restaurant:pizza-hut,no_photo
bestmuscat:restaurant:the-lazy-lizard,no_photo
bestmuscat:restaurant:al-deyar,no_photo
bestmuscat:restaurant:serai-pool-restaurant,no_photo
bestmuscat:restaurant:ocean-restaurant,no_photo
bestmuscat:restaurant:automatic-restaurant,no_photo
bestmuscat:restaurant:nando-s,no_photo
bestmuscat:restaurant:pizza-hut,missing_address
bestmuscat:restaurant:pizza-hut,no_photo
bestmuscat:restaurant:bollywood,no_photo
bestmuscat:restaurant:d-arcy-s-kitchen,no_photo
bestmuscat:restaurant:spicy-village,no_photo
bestmuscat:restaurant:pizza-hut,no_photo
bestmuscat:restaurant:pavo-real,no_photo
bestmuscat:restaurant:mckenny-s,no_photo
bestmuscat:restaurant:spicy-village,no_photo
bestmuscat:restaurant:bellapais,no_photo
bestmuscat:restaurant:tapas,missing_address
bestmuscat:restaurant:tapas,no_photo
bestmuscat:restaurant:capri-court,missing_address
bestmuscat:restaurant:capri-court,no_photo
bestmuscat:restaurant:bait-al-bahr,missing_address
bestmuscat:restaurant:bait-al-bahr,no_photo
bestmuscat:restaurant:saravana-bhavan-restaurant,no_photo
bestmuscat:restaurant:papa-john-pizza,no_photo
bestmuscat:restaurant:arab-world-restaurant,no_photo
bestmuscat:restaurant:waterwheel-restaurant,no_photo
bestmuscat:restaurant:citrus-cafe-turkish,no_photo
bestmuscat:restaurant:mt-m-lsdf-lyrny,no_photo
bestmuscat:restaurant:mt-m-smky,no_photo
bestmuscat:restaurant:grill-house-restaurant,no_photo
bestmuscat:restaurant:pizza-hut,no_photo
bestmuscat:restaurant:mt-m,no_photo
bestmuscat:restaurant:rooster-cafe,no_photo
bestmuscat:restaurant:best-burger,no_photo
bestmuscat:restaurant:pizza-inn,no_photo
bestmuscat:restaurant:mt-m-lyly-l-thmny,missing_address
bestmuscat:restaurant:mt-m-lyly-l-thmny,no_photo
bestmuscat:restaurant:royal,no_photo
bestmuscat:restaurant:la-brasserie-restaurant,no_photo
bestmuscat:restaurant:360,no_photo
bestmuscat:restaurant:al-hawas,no_photo
bestmuscat:restaurant:tk-bhryny,missing_address
bestmuscat:restaurant:tk-bhryny,no_photo
bestmuscat:restaurant:pizza-hut-delivery-service,no_photo
bestmuscat:restaurant:slymn-bsh-ltrky,missing_address
bestmuscat:restaurant:slymn-bsh-ltrky,no_photo
bestmuscat:restaurant:mt-m-ljwd-llbnny,no_photo
bestmuscat:restaurant:mt-m-lshw-l-lmy,missing_address
bestmuscat:restaurant:mt-m-lshw-l-lmy,no_photo
bestmuscat:restaurant:pizza-italiano,no_photo
bestmuscat:restaurant:yumyum,no_photo
bestmuscat:restaurant:eastern-olive-cafe,no_photo
bestmuscat:restaurant:italiano,no_photo
bestmuscat:restaurant:omar-al-khayyam-restaurant,no_photo
bestmuscat:restaurant:china-town,no_photo
bestmuscat:restaurant:barbeque-nation,no_photo
bestmuscat:restaurant:grill-house-co-restaurant,no_photo
bestmuscat:restaurant:annab,no_photo
bestmuscat:restaurant:caviar-restaurant,no_photo
bestmuscat:restaurant:shandiz,missing_address
bestmuscat:restaurant:shandiz,no_photo
bestmuscat:restaurant:omani-house,no_photo
bestmuscat:restaurant:rasui-restaurant,no_photo
bestmuscat:restaurant:spice-island-restaurent,no_photo
bestmuscat:restaurant:bin-ateeq-restaurant-for-omani-food,no_photo
bestmuscat:restaurant:golden-spoon,no_photo
bestmuscat:restaurant:pizza-hut,no_photo
bestmuscat:restaurant:automatic-restaurant,no_photo
bestmuscat:restaurant:bread-talk,no_photo
bestmuscat:restaurant:volare-pizzeria,no_photo
bestmuscat:restaurant:love-at-first-bite,no_photo
bestmuscat:restaurant:doganza,no_photo
bestmuscat:restaurant:fat-burger,no_photo
bestmuscat:restaurant:pizza-hut,no_photo
bestmuscat:restaurant:hyderabadi-special-food,no_photo
bestmuscat:restaurant:shang-thai,no_photo
bestmuscat:restaurant:shakespeare-and-co-cafe-restaurant-and-chocolate,no_photo
bestmuscat:restaurant:rose-garden,no_photo
